uid,aid,start_time,end_time
4,1,2018-11-22 21:36:22,2018-11-22 21:36:22
4,1,2018-11-22 21:41:04,2018-11-22 21:41:04
4,1,2018-11-22 23:03:52,2018-11-22 23:03:52
4,1,2018-11-22 23:06:56,2018-11-22 23:06:56
4,7,2018-11-22 23:34:42,2018-11-22 23:34:42
4,4,2018-11-22 23:35:12,2018-11-22 23:35:12
4,7,2018-11-22 23:36:13,2018-11-22 23:36:13
4,7,2018-11-22 23:40:28,2018-11-22 23:40:28
4,4,2018-11-22 23:41:32,2018-11-22 23:41:32
4,7,2018-11-22 23:42:01,2018-11-22 23:42:01
4,10,2018-11-22 23:43:06,2018-11-22 23:43:06
4,9,2018-11-22 23:48:12,2018-11-22 23:48:12
4,9,2018-11-24 01:00:23,2018-11-24 01:00:23
4,1,2018-11-24 01:06:22,2018-11-24 01:06:22
4,1,2018-11-24 01:08:01,2018-11-24 01:08:01
4,9,2018-11-24 02:20:06,2018-11-24 02:20:06
4,7,2018-11-24 05:36:51,2018-11-24 05:36:51
4,4,2018-11-24 05:37:12,2018-11-24 05:37:12
4,10,2018-11-24 05:57:20,2018-11-24 05:57:20
4,5,2018-11-24 06:36:17,2018-11-24 06:36:17
4,7,2018-11-24 06:39:00,2018-11-24 06:39:00
4,4,2018-11-24 06:39:42,2018-11-24 06:39:42
4,1,2018-11-23 19:18:46,2018-11-23 19:18:46
4,1,2018-11-23 23:02:19,2018-11-23 23:02:19
4,1,2018-11-23 23:04:33,2018-11-23 23:04:33
4,9,2018-11-23 23:31:14,2018-11-23 23:31:14
4,10,2018-11-23 23:35:53,2018-11-23 23:35:53
4,7,2018-11-25 00:36:08,2018-11-25 00:36:08
4,4,2018-11-25 00:36:24,2018-11-25 00:36:24
4,7,2018-11-25 00:37:11,2018-11-25 00:37:11
4,7,2018-11-25 00:40:24,2018-11-25 00:40:24
4,4,2018-11-25 00:41:31,2018-11-25 00:41:31
4,7,2018-11-25 00:42:02,2018-11-25 00:42:02
4,9,2018-11-25 06:00:17,2018-11-25 06:00:17
4,5,2018-11-25 06:30:35,2018-11-25 06:30:35
4,4,2018-11-25 06:32:22,2018-11-25 06:32:22
4,5,2018-11-25 06:34:55,2018-11-25 06:34:55
4,5,2018-11-26 07:44:01,2018-11-26 07:44:01
4,4,2018-11-26 07:47:07,2018-11-26 07:47:07
4,5,2018-11-26 07:48:01,2018-11-26 07:48:01
4,5,2018-11-25 09:26:53,2018-11-25 09:26:53
4,4,2018-11-25 09:27:11,2018-11-25 09:27:11
4,7,2018-11-25 10:27:07,2018-11-25 10:27:07
4,4,2018-11-25 11:55:46,2018-11-25 11:55:46
4,7,2018-11-26 09:27:21,2018-11-26 09:27:21
4,4,2018-11-26 13:15:30,2018-11-26 13:15:30
4,5,2018-11-26 13:16:28,2018-11-26 13:16:28
4,4,2018-11-26 13:23:42,2018-11-26 13:23:42
4,5,2018-11-26 13:24:14,2018-11-26 13:24:14
4,4,2018-11-26 18:22:44,2018-11-26 18:22:44
4,5,2018-11-26 18:23:54,2018-11-26 18:23:54
4,6,2018-11-28 21:14:17,2018-11-28 21:14:17
4,10,2018-11-28 22:14:25,2018-11-28 22:14:25
4,4,2018-11-30 06:47:08,2018-11-30 06:47:08
4,7,2018-11-30 06:47:47,2018-11-30 06:47:47
4,7,2018-11-30 06:50:11,2018-11-30 06:50:11
4,4,2018-11-30 06:51:24,2018-11-30 06:51:24
4,7,2018-11-29 21:38:12,2018-11-29 21:38:12
4,4,2018-11-29 21:38:22,2018-11-29 21:38:22
4,7,2018-11-29 21:38:56,2018-11-29 21:38:56
4,7,2018-11-29 21:41:13,2018-11-29 21:41:13
4,4,2018-11-29 21:41:46,2018-11-29 21:41:46
4,7,2018-11-29 21:43:08,2018-11-29 21:43:08
4,1,2018-11-29 22:14:01,2018-11-29 22:14:01
4,1,2018-11-29 22:17:11,2018-11-29 22:17:11
4,4,2018-12-03 07:39:57,2018-12-03 07:39:57
4,5,2018-12-02 10:27:37,2018-12-02 10:27:37
4,5,2018-12-02 10:32:58,2018-12-02 10:32:58
4,4,2018-12-02 10:33:31,2018-12-02 10:33:31
4,5,2018-12-02 10:34:29,2018-12-02 10:34:29
4,4,2018-12-02 11:49:03,2018-12-02 11:49:03
4,7,2018-12-02 11:51:17,2018-12-02 11:51:17
4,4,2018-12-02 11:51:52,2018-12-02 11:51:52
4,4,2018-12-02 11:59:27,2018-12-02 11:59:27
4,4,2018-12-02 12:15:58,2018-12-02 12:15:58
4,4,2018-12-02 15:31:47,2018-12-02 15:31:47
4,4,2018-12-05 17:32:03,2018-12-05 17:32:03
4,6,2018-12-05 18:09:10,2018-12-05 18:09:10
4,1,2018-12-05 18:51:11,2018-12-05 18:51:11
4,4,2018-12-05 19:10:20,2018-12-05 19:10:20
4,5,2018-12-05 19:10:55,2018-12-05 19:10:55
4,12,2018-12-07 21:58:15,2018-12-07 21:58:15
4,12,2018-12-07 22:11:44,2018-12-07 22:11:44
4,12,2018-12-07 22:17:49,2018-12-07 22:17:49
4,12,2018-12-07 22:23:48,2018-12-07 22:23:48
